Tree_ID,Latitude,Longitude,Species,Height_m,Canopy_Width_m,Canopy_Condition,Disease_Symptom,Leaf_Color_Deviation,Bark_Damage_Score,Root_Exposure,Soil_Moisture_%,Ambient_Temperature_C,Humidity_%,CO2_ppm,PM2.5_ug_m3,NO2_ppb,O3_ppb,Air_Quality_Index,Urban_Zone,Year_Planted,Recent_Pruning_Year,Tree_Crown_Diameter_m,Crown_Density_%,Proximity_to_Road_m
TREE_00000,37.64981604753894,-122.16364850289555,Oak,13.76,7.52,Full,None,0.61,9,0,20.67,22.6,70.4,298.1,16.4,40.6,18.7,Moderate,Zone E,2011,2019.0,1.69,42.4,83.85
TREE_00001,37.88028572256397,-122.10165930140431,Oak,10.48,5.59,Full,None,0.29,7,0,28.43,32.4,35.3,423.0,13.5,20.8,24.8,Unhealthy,Zone C,1964,2009.0,3.83,55.7,85.16
TREE_00002,37.79279757672456,-122.37476605060375,Pine,11.93,3.37,Partial,None,0.8,3,0,13.04,29.6,78.1,402.5,6.7,30.0,43.7,Good,Zone C,2000,,4.64,58.6,55.75
TREE_00003,37.73946339367881,-122.1875629501965,Birch,10.25,4.81,Partial,Leaf Spot,0.8,2,0,9.59,16.1,85.8,377.1,6.4,40.3,31.3,Unhealthy,Zone C,1963,2020.0,3.89,31.3,14.42
TREE_00004,37.56240745617698,-122.21412700842812,Birch,4.74,3.32,Full,Fungal Infection,0.78,7,0,29.33,25.3,37.4,392.8,15.9,25.1,39.8,Unhealthy for Sensitive Groups,Zone A,2008,2011.0,2.28,99.0,63.55
TREE_00005,37.56239780813448,-122.08358481160586,Pine,7.42,5.96,Full,Bacterial Wilt,0.52,8,0,12.42,16.8,55.0,358.2,8.5,37.5,25.9,Good,Zone A,2001,2000.0,5.12,91.9,40.63
TREE_00006,37.52323344486728,-122.04695646975937,Elm,12.02,2.97,Partial,None,0.28,7,0,31.14,34.1,60.7,486.4,19.7,24.6,41.8,Unhealthy for Sensitive Groups,Zone A,1950,2020.0,3.05,45.2,3.18
TREE_00007,37.84647045830997,-122.49392161426131,Redwood,10.5,4.55,Full,Root Rot,0.81,5,1,10.1,19.9,38.1,299.4,1.4,34.6,21.3,Unhealthy for Sensitive Groups,Zone E,1966,2007.0,6.56,32.9,19.49
TREE_00008,37.74044600469728,-122.1629900404706,Oak,13.54,3.49,Full,None,0.19,2,0,30.55,33.7,60.2,421.2,6.7,8.8,22.4,Very Unhealthy,Zone C,2005,,3.8,37.6,75.91
TREE_00009,37.78322903111842,-122.47408210044014,Oak,11.21,5.19,Partial,Fungal Infection,0.29,7,0,28.19,31.7,42.4,335.7,10.1,20.6,43.7,Good,Zone A,1954,2011.0,4.59,98.2,63.1
TREE_00010,37.50823379771832,-122.22557066746133,Pine,7.1,4.45,Partial,None,0.18,4,0,23.34,26.0,86.1,366.9,11.8,44.7,43.2,Unhealthy for Sensitive Groups,Zone D,1966,2008.0,5.34,46.6,97.84
TREE_00011,37.88796394086479,-122.35618363547816,Pine,7.61,5.27,Sparse,Insect Infestation,0.67,4,0,30.51,21.7,56.9,378.0,15.3,1.8,10.9,Very Unhealthy,Zone C,1967,2003.0,4.32,92.1,92.34
TREE_00012,37.83297705632017,-122.34661170023892,Elm,10.31,5.03,None,Fungal Infection,0.69,8,0,14.92,32.2,89.7,350.9,11.0,12.3,39.9,Very Unhealthy,Zone C,2004,2005.0,3.93,15.3,59.43
TREE_00013,37.58493564427131,-122.32352074827382,Cedar,3.06,3.52,Partial,None,0.65,0,0,9.98,18.1,32.8,388.7,10.4,41.7,16.6,Unhealthy for Sensitive Groups,Zone C,1996,2002.0,4.88,79.9,15.49
TREE_00014,37.57272998688284,-122.1893537754752,Birch,15.02,5.94,Partial,None,0.42,6,0,9.71,18.6,37.7,268.6,8.6,18.9,40.6,Unhealthy for Sensitive Groups,Zone A,1998,2001.0,3.64,78.6,33.63
